partner_id,tenure_months,city_district,avg_customer_rating,safety_score,avg_weekly_trips,grab_pay_usage_rate,acceptance_rate,cancellation_rate,peak_hour_percentage,avg_weekly_earnings,earnings_stability_score,loan_default
1,15,South,4.6,99.3,104,0.36,0.91,0.09,0.62,16989.18301956814,1927.57,1
2,55,South,4.9,71.7,122,0.23,0.86,0.05,0.44,15984.284468823429,1703.08,0
3,48,West,5.0,91.0,134,0.84,0.99,0.05,0.35,16865.224660689757,2331.79,0
4,31,West,4.85,92.3,94,0.57,0.96,0.14,0.29,15728.813091978049,1508.42,0
5,26,South,4.87,71.7,55,0.47,0.92,0.08,0.45,12044.584000036552,3203.96,1
6,54,West,4.65,76.6,71,0.27,0.95,0.08,0.21,15620.619627075057,3180.66,1
7,40,East,4.97,77.2,76,0.12,0.86,0.03,0.46,15753.258164104987,2232.03,0
8,29,South,4.53,81.1,78,0.63,0.88,0.1,0.28,14243.770837702563,1584.57,1
9,33,South,4.8,71.2,54,0.48,0.86,0.1,0.28,11778.72559283209,509.86,1
10,44,East,4.67,98.2,100,0.76,0.96,0.13,0.3,14919.478201320215,1125.73,0
11,36,East,4.78,88.2,59,0.71,0.93,0.13,0.6,13468.91930822495,3153.97,1
12,30,West,4.94,70.4,79,0.25,0.88,0.04,0.49,13983.869412241658,453.86,0
13,19,West,4.99,97.1,132,0.24,0.99,0.09,0.78,19904.75667190129,2460.5,0
14,24,North,4.77,71.5,31,0.53,0.86,0.1,0.27,7497.430849437411,1147.56,1
15,10,East,4.85,97.6,104,0.25,0.95,0.09,0.36,18781.327683009986,1176.55,0
16,35,South,4.98,89.4,135,0.73,0.96,0.05,0.26,17804.08904541446,3564.04,0
17,22,South,4.66,87.8,65,0.61,0.93,0.13,0.24,13958.96921057714,2500.96,1
18,49,South,4.86,70.1,127,0.87,0.97,0.09,0.74,16963.54898606101,3761.35,1
19,51,West,4.86,80.9,75,0.85,0.86,0.02,0.41,12150.878748466721,3579.61,0
20,42,North,4.73,76.5,136,0.47,0.88,0.07,0.74,18809.172525247217,2037.66,1
21,56,West,4.54,92.2,59,0.52,0.87,0.07,0.56,12474.490992827683,1750.39,0
22,15,West,4.52,96.7,77,0.36,0.97,0.13,0.59,11972.85725290704,1335.51,1
23,18,West,4.78,89.0,79,0.26,0.93,0.01,0.7,13807.420512595161,3399.92,1
24,57,South,4.85,87.6,138,0.56,0.97,0.11,0.49,16806.559751387897,1624.37,0
25,11,South,4.8,91.0,55,0.46,0.87,0.08,0.55,11057.143322111815,1877.66,0
26,3,West,4.59,77.4,103,0.23,1.0,0.11,0.41,14596.587090140505,1172.74,1
27,9,East,4.66,95.7,97,0.66,0.9,0.08,0.2,13227.17671646101,1689.07,0
28,19,West,4.65,86.0,62,0.61,0.97,0.09,0.63,13190.991874083335,2127.69,1
29,25,West,4.56,87.9,63,0.18,0.94,0.15,0.23,12380.538389408146,2712.76,1
30,15,South,4.8,98.0,20,0.49,0.94,0.09,0.21,10214.000643078094,1685.21,0
31,42,South,4.61,82.8,58,0.42,0.98,0.15,0.37,12154.710690253089,2806.85,1
